MH_Time	MH_DOY	MH_0.1NaNm	MH_0.3NaNm	MH_0.5NaNm	MH_1.0NaNm	MH_3.0NaNm	MH_5.0NaNm	MH_7NaNm	IH_Time	IH_DOY	IH_0.1NaNm	IH_0.3NaNm	IH_0.5NaNm	IH_1.0NaNm	IH_3.0NaNm	IH_5.0NaNm
2009-10-15NaN17:00	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN17:00	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN17:15	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN17:15	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN17:30	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN17:30	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN17:45	288.7			1.7	3.5	3.6	3.8	4.2	2009-10-15NaN17:45	288.7			3.9	4.0	4.1	4.7
2009-10-15NaN18:00	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN18:00	288.7			3.9	4.0	4.1 4.7
2009-10-15NaN18:15  288.7	    1.8	3.5	3.6	3.8	4.2	2009-10-15NaN18:15	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN18:30	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN18:30	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN18:45	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN18:45	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN19:00	288.7			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN19:00	288.7			4.0	4.0	4.1	4.7
2009-10-15NaN19:15	288.8			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN19:15	288.8			4.0	4.0	4.1	4.7
2009-10-15NaN19:30	288.8			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN19:30	288.8			4.0	4.0	4.1	4.7
2009-10-15NaN19:45	288.8			1.7	3.5	3.6	3.8	4.2	2009-10-15NaN19:45	288.8			4.0	4.0	4.1	4.7
2009-10-15NaN20:00	288.8			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN20:00	288.8			4.0	4.0	4.1	4.7
2009-10-15NaN20:15	288.8			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN20:15	288.8			4.0	4.0	4.1	4.7
2009-10-15NaN20:30	288.8			1.8	3.5	3.6	3.8	4.2	2009-10-15NaN20:30	288.8			4.0	4.0	4.1	4.7
