MH_Time;MH_DOY;MH_0.1_m;MH_0.3_m;MH_0.5_m;MH_1.0_m;MH_3.0_m;MH_5.0_m;MH_7_m;IH_Time;IH_DOY;IH_0.1_m;IH_0.3_m;IH_0.5_m;IH_1.0_m;IH_3.0_m;IH_5.0_m
2009-06-11_23:00;162.958;11.066;11.070;10.983;10.306;7.373;6.473;6.304;2009-06-11_23:00;162.958;12.889;12.869;12.883;12.871;9.232;7.879
2009-06-12_00:00;163.000;11.164;11.095;10.739;10.184;7.348;6.473;6.304;2009-06-12_00:00;163.000;12.840;12.845;12.858;12.847;9.281;7.854
2009-06-12_01:00;163.042;10.871;10.680;10.641;10.233;7.298;6.422;6.279;2009-06-12_01:00;163.042;12.768;12.773;12.786;12.799;9.281;7.854
2009-06-12_02:00;163.083;10.627;10.631;10.592;10.184;7.524;6.473;6.304;2009-06-12_02:00;163.083;12.696;12.700;12.738;12.727;9.306;7.829
2009-06-12_03:00;163.125;10.554;10.558;10.470;10.208;7.197;6.574;6.329;2009-06-12_03:00;163.125;12.647;12.628;12.665;12.654;9.330;7.829
2009-06-12_04:00;163.167;10.382;10.386;10.372;10.159;7.398;6.371;6.304;2009-06-12_04:00;163.167;12.575;12.580;12.593;12.582;9.355;7.829
2009-06-12_05:00;163.208;10.333;10.313;10.298;10.184;7.147;6.498;6.329;2009-06-12_05:00;163.208;12.527;12.507;12.521;12.509;9.380;7.829
2009-06-12_06:00;163.250;10.260;10.264;10.225;10.233;7.373;6.422;6.304;2009-06-12_06:00;163.250;12.430;12.435;12.448;12.437;9.330;7.804
2009-06-12_07:00;163.292;10.284;10.288;10.249;10.110;7.373;6.447;6.304;2009-06-12_07:00;163.292;12.454;12.435;12.448;12.461;9.355;7.804
2009-06-12_08:00;163.333;10.309;10.313;10.274;10.208;7.247;6.473;6.253;2009-06-12_08:00;163.333;12.478;12.459;12.448;12.461;9.355;7.804
2009-06-12_09:00;163.375;10.627;10.582;10.470;10.257;7.373;6.498;6.279;2009-06-12_09:00;163.375;12.502;12.459;12.472;12.461;9.380;7.804
2009-06-12_10:00;163.417;10.871;10.802;10.739;10.429;7.449;6.473;6.329;2009-06-12_10:00;163.417;12.623;12.580;12.545;12.558;9.479;7.804
2009-06-12_11:00;163.458;11.334;11.314;11.251;10.257;7.298;6.447;6.279;2009-06-12_11:00;163.458;12.768;12.773;12.738;12.678;9.429;7.804
2009-06-12_12:00;163.500;11.504;11.363;11.251;10.966;7.273;6.498;6.304;2009-06-12_12:00;163.500;13.081;13.086;13.003;12.968;9.651;7.804
2009-06-12_13:00;163.542;11.358;11.314;11.276;10.673;7.549;6.447;6.279;2009-06-12_13:00;163.542;13.202;13.159;13.099;13.088;9.355;7.829
2009-06-12_14:00;163.583;11.504;11.460;11.300;11.039;7.348;6.422;6.304;2009-06-12_14:00;163.583;13.274;13.207;13.148;13.137;9.429;7.829
2009-06-12_15:00;163.625;11.650;11.582;11.568;11.502;7.524;6.473;6.279;2009-06-12_15:00;163.625;13.418;13.375;13.292;13.329;9.306;7.829
2009-06-12_16:00;163.667;11.698;11.630;11.616;11.502;7.373;6.498;6.304;2009-06-12_16:00;163.667;13.490;13.471;13.412;13.425;9.454;7.829
2009-06-12_17:00;163.708;11.893;11.800;11.786;11.672;7.323;6.422;6.279;2009-06-12_17:00;163.708;13.659;13.568;13.509;13.546;9.380;7.829
2009-06-12_18:00;163.750;11.771;11.751;11.713;11.696;7.449;6.473;6.304;2009-06-12_18:00;163.750;13.515;13.519;13.533;13.546;9.503;7.829
2009-06-12_19:00;163.792;11.771;11.727;11.665;11.648;7.348;6.447;6.279;2009-06-12_19:00;163.792;13.587;13.519;13.509;13.522;9.479;7.829
2009-06-12_20:00;163.833;11.820;11.776;11.738;11.696;7.222;6.473;6.329;2009-06-12_20:00;163.833;13.539;13.495;13.484;13.522;9.774;7.829
2009-06-12_21:00;163.875;11.820;11.800;11.762;11.745;7.449;6.422;6.279;2009-06-12_21:00;163.875;13.466;13.423;13.460;13.449;9.823;7.829
2009-06-12_22:00;163.917;11.674;11.679;11.641;11.623;7.398;6.422;6.253;2009-06-12_22:00;163.917;13.394;13.375;13.388;13.401;10.118;7.829
2009-06-12_23:00;163.958;11.577;11.582;11.568;11.575;7.398;6.422;6.304;2009-06-12_23:00;163.958;13.274;13.279;13.292;13.281;10.681;7.829
2009-06-13_00:00;164.000;11.480;11.509;11.495;11.429;7.424;6.447;6.279;2009-06-13_00:00;164.000;13.154;13.159;13.172;13.161;11.874;7.829
2009-06-13_01:00;164.042;11.334;11.338;11.324;11.259;7.499;6.447;6.253;2009-06-13_01:00;164.042;13.033;13.014;13.051;13.040;12.600;7.829
2009-06-13_02:00;164.083;11.261;11.265;11.251;11.234;7.373;6.473;6.253;2009-06-13_02:00;164.083;12.889;12.893;12.907;12.896;12.672;7.829
2009-06-13_03:00;164.125;11.164;11.168;11.154;11.137;7.398;6.422;6.228;2009-06-13_03:00;164.125;12.816;12.821;12.834;12.847;12.479;7.829
2009-06-13_04:00;164.167;11.139;11.144;11.129;11.113;7.398;6.447;6.228;2009-06-13_04:00;164.167;12.720;12.700;12.738;12.727;12.600;7.829
2009-06-13_05:00;164.208;11.066;11.095;11.081;11.064;7.524;6.447;6.228;2009-06-13_05:00;164.208;12.623;12.628;12.641;12.654;12.503;7.829
2009-06-13_06:00;164.250;11.017;11.022;11.008;11.015;7.298;6.422;6.228;2009-06-13_06:00;164.250;12.551;12.531;12.545;12.534;12.455;7.829
2009-06-13_07:00;164.292;10.920;10.924;10.910;10.893;7.348;6.447;6.228;2009-06-13_07:00;164.292;12.454;12.435;12.448;12.461;12.383;7.829
2009-06-13_08:00;164.333;10.871;10.875;10.861;10.869;7.474;6.447;6.202;2009-06-13_08:00;164.333;12.382;12.338;12.351;12.364;12.310;7.829
2009-06-13_09:00;164.375;10.969;10.949;10.934;10.893;7.499;6.447;6.177;2009-06-13_09:00;164.375;12.478;12.411;12.448;12.413;12.310;7.829
2009-06-13_10:00;164.417;10.944;10.973;10.934;10.893;7.549;6.473;6.253;2009-06-13_10:00;164.417;12.406;12.386;12.424;12.413;12.358;7.829
2009-06-13_11:00;164.458;11.066;11.070;11.056;10.991;7.599;6.447;6.228;2009-06-13_11:00;164.458;12.527;12.507;12.496;12.509;12.455;7.829
2009-06-13_12:00;164.500;11.115;11.095;11.056;11.039;7.675;6.422;6.228;2009-06-13_12:00;164.500;12.575;12.556;12.545;12.558;12.479;7.829
2009-06-13_13:00;164.542;11.334;11.338;11.276;11.283;7.825;6.498;6.228;2009-06-13_13:00;164.542;12.744;12.725;12.714;12.727;12.648;7.829
2009-06-13_14:00;164.583;11.480;11.460;11.446;11.429;7.474;6.447;6.253;2009-06-13_14:00;164.583;12.889;12.869;12.834;12.847;12.769;7.829
2009-06-13_15:00;164.625;11.698;11.703;11.665;11.672;7.599;6.422;6.228;2009-06-13_15:00;164.625;12.961;12.918;12.907;12.944;12.865;7.829
2009-06-13_16:00;164.667;11.626;11.606;11.592;11.623;8.100;6.447;6.202;2009-06-13_16:00;164.667;12.961;12.942;12.955;12.968;12.914;7.854
2009-06-13_17:00;164.708;11.650;11.654;11.641;11.623;7.800;6.498;6.228;2009-06-13_17:00;164.708;12.985;12.966;12.979;12.992;12.962;7.854
2009-06-13_18:00;164.750;11.698;11.703;11.665;11.696;7.700;6.422;6.228;2009-06-13_18:00;164.750;13.033;12.990;13.003;13.016;12.962;7.854
2009-06-13_19:00;164.792;11.650;11.654;11.641;11.648;7.800;6.473;6.228;2009-06-13_19:00;164.792;12.985;12.990;13.003;12.992;12.986;7.879
2009-06-13_20:00;164.833;11.674;11.679;11.665;11.648;7.950;6.473;6.228;2009-06-13_20:00;164.833;12.937;12.942;12.955;12.968;12.938;7.954
2009-06-13_21:00;164.875;11.577;11.582;11.568;11.575;7.925;6.422;6.177;2009-06-13_21:00;164.875;12.937;12.918;12.955;12.944;12.914;8.054
2009-06-13_22:00;164.917;11.601;11.606;11.592;11.575;8.175;6.422;6.202;2009-06-13_22:00;164.917;12.889;12.893;12.907;12.920;12.890;8.179
2009-06-13_23:00;164.958;11.577;11.582;11.568;11.575;7.925;6.498;6.202;2009-06-13_23:00;164.958;12.864;12.845;12.883;12.871;12.841;8.328
2009-06-14_00:00;165.000;11.553;11.557;11.543;11.551;7.975;6.447;6.202;2009-06-14_00:00;165.000;12.816;12.821;12.834;12.823;12.817;8.478
2009-06-14_01:00;165.042;11.480;11.509;11.470;11.502;7.850;6.473;6.202;2009-06-14_01:00;165.042;12.792;12.773;12.810;12.799;12.793;8.627
2009-06-14_02:00;165.083;11.480;11.484;11.470;11.478;8.175;6.447;6.177;2009-06-14_02:00;165.083;12.768;12.749;12.786;12.775;12.745;8.825
2009-06-14_03:00;165.125;11.456;11.460;11.446;11.453;8.050;6.447;6.177;2009-06-14_03:00;165.125;12.720;12.725;12.738;12.727;12.697;8.974
2009-06-14_04:00;165.167;11.431;11.436;11.422;11.429;8.250;6.473;6.126;2009-06-14_04:00;165.167;12.671;12.676;12.690;12.703;12.672;9.073
2009-06-14_05:00;165.208;11.431;11.436;11.422;11.429;8.075;6.473;6.177;2009-06-14_05:00;165.208;12.647;12.652;12.665;12.654;12.648;9.197
2009-06-14_06:00;165.250;11.407;11.411;11.397;11.405;7.975;6.447;6.151;2009-06-14_06:00;165.250;12.623;12.604;12.641;12.630;12.600;9.320
2009-06-14_07:00;165.292;11.358;11.363;11.349;11.356;8.449;6.447;6.177;2009-06-14_07:00;165.292;12.575;12.556;12.593;12.582;12.576;9.419
2009-06-14_08:00;165.333;11.310;11.338;11.300;11.307;8.573;6.473;6.177;2009-06-14_08:00;165.333;12.527;12.531;12.545;12.558;12.552;9.567
2009-06-14_09:00;165.375;11.212;11.241;11.203;11.210;9.193;6.422;6.151;2009-06-14_09:00;165.375;12.478;12.483;12.496;12.509;12.455;9.641
2009-06-14_10:00;165.417;11.164;11.192;11.178;11.186;8.921;6.447;6.177;2009-06-14_10:00;165.417;12.430;12.435;12.448;12.461;12.431;9.739
2009-06-14_11:00;165.458;11.164;11.168;11.154;11.113;8.970;6.447;6.151;2009-06-14_11:00;165.458;12.406;12.411;12.424;12.437;12.407;9.788
2009-06-14_12:00;165.500;11.042;11.046;11.032;11.039;9.119;6.473;6.177;2009-06-14_12:00;165.500;12.406;12.386;12.400;12.413;12.383;9.838
2009-06-14_13:00;165.542;10.993;10.997;10.983;10.991;8.822;6.498;6.177;2009-06-14_13:00;165.542;12.382;12.362;12.376;12.389;12.358;9.887
2009-06-14_14:00;165.583;10.944;10.949;10.910;10.942;9.391;6.422;6.177;2009-06-14_14:00;165.583;12.261;12.241;12.279;12.292;12.286;9.936
2009-06-14_15:00;165.625;10.944;10.949;10.934;10.918;9.440;6.473;6.151;2009-06-14_15:00;165.625;12.188;12.193;12.206;12.219;12.189;9.960
2009-06-14_16:00;165.667;10.822;10.827;10.812;10.820;9.415;6.473;6.151;2009-06-14_16:00;165.667;12.164;12.169;12.206;12.195;12.165;10.010
2009-06-14_17:00;165.708;10.725;10.729;10.739;10.747;9.834;6.473;6.151;2009-06-14_17:00;165.708;12.115;12.096;12.134;12.122;12.092;10.034
