MH_DOY MH_Time	MH_0.1_m	MH_0.3_m	MH_0.5_m	MH_1.0_m	MH_3.0_m	MH_5.0_m	MH_7_m	IH_Time	IH_DOY	IH_0.1_m	IH_0.3_m	IH_0.5_m	IH_1.0_m	IH_3.0_m	IH_5.0_m
2009-06-12 06:00	163.2	10.2	10.2	10.2	10.2	7.3	6.4	6.3	2009-06-12 06:00	163.2	12.4	12.4	12.4	12.4	9.3	7.8
2009-06-16 20:00	167.8	8.2	8.2	8.2	8.1	8.1	8.1	7.3	2009-06-16 20:00	167.8	10.1	10.1	10.2	10.1	10.1	9.5
2009-06-17 06:00	168.2	7.5	7.5	7.4	7.5	7.4	7.3	7.0	2009-06-17 06:00	168.2	9.3	9.3	9.3	9.3	9.3	9.3
2009-06-21 20:00	172.8	12.8	12.8	12.7	12.0	9.4	7.5	7.2	2009-06-21 20:00	172.8	13.6	13.6	13.6	13.6	12.5	10.3
2009-06-22 06:00	173.2	11.8	11.8	11.8	11.4	9.5	7.5	7.1	2009-06-22 06:00	173.2	13.0	13.0	13.0	13.0	12.6	10.3
2009-06-26 20:00	177.8	17.1	17.1	16.6	14.0	9.9	7.6	7.1	2009-06-26 20:00	177.8	17.2	17.2	17.2	17.2	14.9	10.4
2009-06-27 06:00	178.2	15.4	15.4	15.3	13.9	9.7	7.7	7.1	2009-06-27 06:00	178.2	16.5	16.6	16.5	16.5	14.8	10.4
2009-07-01 20:00	182.8	14.5	14.5	14.5	14.5	10.2	7.8	7.1	2009-07-01 20:00	182.8	15.9	15.9	15.9	15.9	15.9	10.7
2009-07-02 06:00	183.2	13.6	13.6	13.6	13.6	10.1	7.7	7.1	2009-07-02 06:00	183.2	15.1	15.1	15.2	15.2	15.1	10.7
2009-07-06 20:00	187.8	13.4	13.4	13.4	13.4	12.1	7.8	7.2	2009-07-06 20:00	187.8	13.9	13.9	13.9	13.9	13.9	12.2
2009-07-07 06:00	188.2	12.2	12.2	12.2	12.2	11.9	7.9	7.2	2009-07-07 06:00	188.2	13.0	13.0	13.0	13.0	13.0	12.2
2009-07-11 20:00	192.8	15.4	15.4	15.4	15.2	12.0	8.0	7.3	2009-07-11 20:00	192.8	15.9	15.6	15.6	15.5	15.3	13.1
2009-07-12 06:00	193.2	14.8	14.8	14.8	14.8	11.8	8.0	7.3	2009-07-12 06:00	193.2	15.2	15.2	15.2	15.2	15.1	13.2
2009-07-16 20:00	197.8	17.1	17.1	17.1	17.1	12.4	8.2	7.3	2009-07-16 20:00	197.8	17.2	17.3	17.3	17.3	17.1	13.9
2009-07-17 06:00	198.2	15.8	15.8	15.8	15.8	12.3	8.4	7.3	2009-07-17 06:00	198.2	16.4	16.4	16.5	16.5	16.4	13.9
2009-07-21 20:00	202.8	13.9	13.9	13.9	13.9	12.6	9.1	7.2	2009-07-21 20:00	202.8	13.9	14.0	14.0	14.0	13.9	12.8
2009-07-22 06:00	203.2	13.2	13.2	13.2	13.2	12.7	9.3	7.2	2009-07-22 06:00	203.2	13.5	13.5	13.5	13.5	13.4	12.9
2009-07-26 20:00	207.8	16.7	16.7	16.7	16.7	13.6	9.2	7.2	2009-07-26 20:00	207.8	16.3	16.3	16.2	16.1	15.6	13.0
2009-07-27 06:00	208.2	15.7	15.7	15.7	15.7	13.6	9.4	7.3	2009-07-27 06:00	208.2	15.5	15.5	15.5	15.5	15.5	13.1
2009-07-31 20:00	212.8	17.3	17.3	17.3	17.3	14.6	10.0	7.6	2009-07-31 20:00	212.8	17.1	17.1	17.1	17.0	16.7	14.5
