MH_Time	MH_DOY	MH_0.1_m	MH_0.3_m	MH_0.5_m	MH_1.0_m	MH_3.0_m	MH_5.0_m	MH_7_m	IH_Time	IH_DOY	IH_0.1_m	IH_0.3_m	IH_0.5_m	IH_1.0_m	IH_3.0_m	IH_5.0_m
2009-06-15 04:00	166.1	9.6	9.6	9.6	9.6	9.1	6.4	6.1	2009-06-15 04:00	166.1	11.1	11.1	11.2	11.2	11.2	10.1
2009-06-15 09:00	166.3	9.3	9.3	9.2	9.2	8.5	6.4	6.1	2009-06-15 09:00	166.3	10.9	10.9	10.9	10.9	10.9	10.0
2009-06-15 14:00	166.5	9.1	9.1	9.0	9.0	8.2	6.4	6.1	2009-06-15 14:00	166.5	10.9	10.9	10.9	10.9	10.8	9.9
2009-06-15 19:00	166.7	8.7	8.7	8.7	8.7	8.3	6.6	6.1	2009-06-15 19:00	166.7	10.8	10.8	10.8	10.9	10.8	9.8
2009-07-01 00:00	182.0	16.0	16.0	16.0	15.4	10.2	8.0	7.2	2009-07-01 00:00	182.0	17.4	17.4	17.4	17.4	15.9	10.6
2009-07-01 05:00	182.2	15.2	15.2	15.2	15.2	10.3	7.8	7.1	2009-07-01 05:00	182.2	16.8	16.8	16.8	16.8	15.8	10.7
2009-07-01 10:00	182.4	15.1	15.1	15.1	15.1	10.1	7.7	7.1	2009-07-01 10:00	182.4	16.5	16.5	16.5	16.5	16.4	10.7
2009-07-01 15:00	182.6	14.8	14.8	14.7	14.8	10.2	7.7	7.1	2009-07-01 15:00	182.6	16.1	16.1	16.2	16.2	16.1	10.7
2009-07-01 20:00	182.8	14.5	14.5	14.5	14.5	10.2	7.8	7.1	2009-07-01 20:00	182.8	15.9	15.9	15.9	15.9	15.9	10.7
2009-07-15 04:00	196.1	16.7	16.7	16.7	16.2	12.3	8.1	7.4	2009-07-15 04:00	196.1	17.0	17.0	17.0	16.9	15.9	14.0
2009-07-15 09:00	196.3	17.1	17.0	17.0	16.3	12.2	8.2	7.4	2009-07-15 09:00	196.3	17.2	17.2	17.2	17.2	15.9	14.0
