MH_Time;MH_DOY;MH_0.1 m;MH_0.3 m;MH_0.5 m;MH_1.0 m;MH_3.0 m;MH_5.0 m;MH_7 m;IH_Time;IH_DOY;IH_0.1 m;IH_0.3 m;IH_0.5 m;IH_1.0 m;IH_3.0 m;IH_5.0 m;
2009-10-15 17:45;288.740;;;1.773;3.550;3.648;3.843;4.244;2009-10-15 17:45;288.740;;;3.998;4.063;4.109;4.751;
2009-10-15 19:00;288.792;;;1.827;3.550;3.648;3.843;4.244;2009-10-15 19:00;288.792;;;4.050;4.063;4.135;4.751;
2009-10-15 20:15;288.844;;;1.854;3.550;3.648;3.843;4.244;2009-10-15 20:15;288.844;;;4.050;4.089;4.135;4.751;
2009-10-15 21:30;288.896;;;1.854;3.550;3.648;3.843;4.244;2009-10-15 21:30;288.896;;;4.076;4.089;4.135;4.777;
2009-10-15 22:45;288.948;;;1.854;3.550;3.648;3.816;4.270;2009-10-15 22:45;288.948;;;4.050;4.089;4.135;4.751;
2009-10-16 00:00;289.000;;;1.800;3.524;3.648;3.816;4.270;2009-10-16 00:00;289.000;;;4.050;4.089;4.109;4.751;
2009-10-16 01:15;289.052;;;1.773;3.550;3.622;3.816;4.270;2009-10-16 01:15;289.052;;;4.050;4.089;4.135;4.751;
2009-10-16 02:30;289.104;;;1.719;3.524;3.622;3.790;4.270;2009-10-16 02:30;289.104;;;4.050;4.089;4.188;4.777;
2009-10-16 03:45;289.156;;;1.719;3.524;3.622;3.816;4.270;2009-10-16 03:45;289.156;;;4.024;4.089;4.214;4.777;
2009-10-16 05:00;289.208;;;1.746;3.550;3.622;3.843;4.270;2009-10-16 05:00;289.208;;;3.998;4.089;4.214;4.803;
2009-10-16 06:15;289.260;;;1.773;3.550;3.622;3.843;4.270;2009-10-16 06:15;289.260;;;3.998;4.089;4.188;4.777;
2009-10-16 07:30;289.313;;;1.800;3.524;3.675;3.843;4.270;2009-10-16 07:30;289.313;;;3.998;4.089;4.188;4.803;
2009-10-16 08:45;289.365;;;1.746;3.524;3.701;3.843;4.270;2009-10-16 08:45;289.365;;;4.024;4.089;4.214;4.803;
2009-10-16 10:00;289.417;;;1.691;3.550;3.701;3.869;4.270;2009-10-16 10:00;289.417;;;4.102;4.141;4.240;4.803;
2009-10-16 11:15;289.469;;;1.719;3.603;3.701;3.895;4.270;2009-10-16 11:15;289.469;;;4.128;4.168;4.240;4.854;
2009-10-16 12:30;289.521;;;1.962;3.629;3.675;3.869;4.270;2009-10-16 12:30;289.521;;;4.181;4.220;4.240;4.803;
2009-10-16 13:45;289.573;;;1.908;3.603;3.701;3.869;4.270;2009-10-16 13:45;289.573;;;4.155;4.194;4.266;4.854;
