MH_Time;MH_DOY;MH_0.1 m;MH_0.3 m;MH_0.5 m;MH_1.0 m;MH_3.0 m;MH_5.0 m;MH_7 m;IH_Time;IH_DOY;IH_0.1 m;IH_0.3 m;IH_0.5 m;IH_1.0 m;IH_3.0 m;IH_5.0 m
2009-06-11 22:30;162.938;11.115;11.119;11.032;10.282;;;;2009-06-11 22:30;162.938;12.889;12.893;12.907;12.896;;
2009-06-11 23:20;162.972;11.212;11.046;11.008;10.355;;;;2009-06-11 23:20;162.972;12.864;12.845;12.883;12.871;;
2009-06-12 00:10;163.007;11.115;10.973;10.763;10.086;;;;2009-06-12 00:10;163.007;12.792;12.821;12.834;12.823;;
2009-06-12 01:00;163.042;10.871;10.680;10.641;10.233;7.298;6.422;6.279;2009-06-12 01:00;163.042;12.768;12.773;12.786;12.799;9.281;7.854
2009-06-12 01:50;163.076;10.676;10.680;10.592;10.233;;;;2009-06-12 01:50;163.076;12.720;12.725;12.738;12.751;;
2009-06-12 02:40;163.111;10.627;10.558;10.470;10.233;;;;2009-06-12 02:40;163.111;12.671;12.652;12.690;12.678;;
2009-06-12 03:30;163.146;10.431;10.435;10.445;10.208;;;;2009-06-12 03:30;163.146;12.575;12.580;12.617;12.630;;
2009-06-12 04:20;163.181;10.333;10.337;10.323;10.184;;;;2009-06-12 04:20;163.181;12.551;12.556;12.569;12.558;;
2009-06-12 05:10;163.215;10.333;10.337;10.298;10.208;;;;2009-06-12 05:10;163.215;12.502;12.483;12.521;12.509;;
2009-06-12 06:00;163.250;10.260;10.264;10.225;10.233;7.373;6.422;6.304;2009-06-12 06:00;163.250;12.430;12.435;12.448;12.437;9.330;7.804
2009-06-12 06:50;163.285;10.284;10.288;10.249;10.184;;;;2009-06-12 06:50;163.285;12.454;12.435;12.448;12.461;;
2009-06-12 07:40;163.319;10.309;10.313;10.274;10.135;;;;2009-06-12 07:40;163.319;12.502;12.435;12.448;12.461;;
2009-06-12 08:30;163.354;10.529;10.435;10.372;10.257;;;;2009-06-12 08:30;163.354;12.454;12.435;12.448;12.437;;
2009-06-12 09:20;163.389;10.676;10.631;10.592;10.306;;;;2009-06-12 09:20;163.389;12.527;12.483;12.472;12.485;;
2009-06-12 10:10;163.424;11.091;10.924;10.812;10.576;;;;2009-06-12 10:10;163.424;12.647;12.604;12.569;12.558;;
2009-06-12 11:00;163.458;11.334;11.314;11.251;10.257;7.298;6.447;6.279;2009-06-12 11:00;163.458;12.768;12.773;12.738;12.678;9.429;7.804
2009-06-12 11:50;163.493;11.456;11.363;11.276;10.942;;;;2009-06-12 11:50;163.493;13.009;13.062;13.003;12.944;;
2009-06-12 12:40;163.528;11.358;11.338;11.324;10.747;;;;2009-06-12 12:40;163.528;13.178;13.134;13.124;13.040;;
2009-06-12 13:30;163.563;11.456;11.411;11.373;10.820;;;;2009-06-12 13:30;163.563;13.057;13.038;13.027;13.016;;
2009-06-12 14:20;163.597;11.480;11.436;11.422;11.429;;;;2009-06-12 14:20;163.597;13.370;13.303;13.196;13.233;;
2009-06-12 15:10;163.632;11.553;11.533;11.495;11.380;;;;2009-06-12 15:10;163.632;13.370;13.351;13.316;13.329;;
2009-06-12 16:00;163.667;11.698;11.630;11.616;11.502;7.373;6.498;6.304;2009-06-12 16:00;163.667;13.490;13.471;13.412;13.425;9.454;7.829
2009-06-12 16:50;163.701;11.844;11.800;11.762;11.575;;;;2009-06-12 16:50;163.701;13.611;13.544;13.509;13.522;;
2009-06-12 17:40;163.736;11.796;11.776;11.762;11.769;;;;2009-06-12 17:40;163.736;13.539;13.519;13.581;13.570;;
2009-06-12 18:30;163.771;11.868;11.824;11.786;11.720;;;;2009-06-12 18:30;163.771;13.659;13.544;13.509;13.546;;
2009-06-12 19:20;163.806;11.723;11.703;11.665;11.648;;;;2009-06-12 19:20;163.806;13.539;13.471;13.484;13.497;;
2009-06-12 20:10;163.840;11.844;11.800;11.786;11.720;;;;2009-06-12 20:10;163.840;13.539;13.495;13.484;13.522;;
2009-06-12 21:00;163.875;11.820;11.800;11.762;11.745;7.449;6.422;6.279;2009-06-12 21:00;163.875;13.466;13.423;13.460;13.449;9.823;7.829
2009-06-12 21:50;163.910;11.674;11.679;11.641;11.623;;;;2009-06-12 21:50;163.910;13.418;13.399;13.412;13.401;;
2009-06-12 22:40;163.944;11.601;11.630;11.616;11.575;;;;2009-06-12 22:40;163.944;13.322;13.303;13.316;13.329;;
2009-06-12 23:30;163.979;11.529;11.533;11.495;11.502;;;;2009-06-12 23:30;163.979;13.226;13.207;13.220;13.233;;
2009-06-13 00:20;164.014;11.407;11.411;11.397;11.380;;;;2009-06-13 00:20;164.014;13.081;13.086;13.124;13.112;;
2009-06-13 01:10;164.049;11.310;11.314;11.300;11.307;;;;2009-06-13 01:10;164.049;13.009;13.014;13.027;13.016;;
2009-06-13 02:00;164.083;11.261;11.265;11.251;11.234;7.373;6.473;6.253;2009-06-13 02:00;164.083;12.889;12.893;12.907;12.896;12.672;7.829
2009-06-13 02:50;164.118;11.188;11.192;11.178;11.161;;;;2009-06-13 02:50;164.118;12.840;12.821;12.858;12.847;;
2009-06-13 03:40;164.153;11.115;11.119;11.105;11.113;;;;2009-06-13 03:40;164.153;12.720;12.725;12.738;12.751;;
2009-06-13 04:30;164.188;11.091;11.095;11.105;11.088;;;;2009-06-13 04:30;164.188;12.671;12.676;12.690;12.678;;
2009-06-13 05:20;164.222;11.066;11.070;11.056;11.064;;;;2009-06-13 05:20;164.222;12.599;12.580;12.617;12.606;;
2009-06-13 06:10;164.257;11.017;10.997;10.983;10.991;;;;2009-06-13 06:10;164.257;12.527;12.507;12.521;12.534;;
2009-06-13 07:00;164.292;10.920;10.924;10.910;10.893;7.348;6.447;6.228;2009-06-13 07:00;164.292;12.454;12.435;12.448;12.461;12.383;7.829
2009-06-13 07:50;164.326;10.871;10.875;10.861;10.869;;;;2009-06-13 07:50;164.326;12.382;12.362;12.376;12.364;;
2009-06-13 08:40;164.361;10.896;10.875;10.837;10.820;;;;2009-06-13 08:40;164.361;12.406;12.338;12.376;12.364;;
