MH_Time;MH_DOY;MH_0.1 m;MH_0.3 m;MH_0.5 m;MH_1.0 m;MH_3.0 m;MH_5.0 m;MH_7 m;IH_Time;IH_DOY;IH_0.1 m;IH_0.3 m;IH_0.5 m;IH_1.0 m;IH_3.0 m;IH_5.0 m;
2009-08-29 13:30;241.563;12.353;12.357;12.344;12.350;;;;2009-08-29 13:30;241.563;12.696;12.700;12.714;12.703;;;
2009-08-29 14:20;241.597;12.353;12.357;12.344;12.350;;;;2009-08-29 14:20;241.597;12.720;12.700;12.714;12.703;;;
2009-08-29 15:10;241.632;12.353;12.357;12.344;12.350;;;;2009-08-29 15:10;241.632;12.720;12.700;12.714;12.703;;;
2009-08-29 16:00;241.667;12.353;12.357;12.344;12.350;12.345;11.408;9.285;2009-08-29 16:00;241.667;12.720;12.700;12.738;12.727;12.697;12.710;
2009-08-29 16:50;241.701;12.377;12.381;12.344;12.375;;;;2009-08-29 16:50;241.701;12.720;12.725;12.738;12.727;;;
2009-08-29 17:40;241.736;12.377;12.381;12.368;12.375;;;;2009-08-29 17:40;241.736;12.744;12.725;12.738;12.727;;;
2009-08-29 18:30;241.771;12.377;12.381;12.368;12.375;;;;2009-08-29 18:30;241.771;12.744;12.725;12.738;12.751;;;
2009-08-29 19:20;241.806;12.377;12.381;12.368;12.375;;;;2009-08-29 19:20;241.806;12.744;12.725;12.762;12.751;;;
2009-08-29 20:10;241.840;12.377;12.381;12.368;12.375;;;;2009-08-29 20:10;241.840;12.744;12.725;12.738;12.751;;;
2009-08-29 21:00;241.875;12.377;12.381;12.344;12.350;12.345;12.329;9.260;2009-08-29 21:00;241.875;12.744;12.725;12.738;12.751;12.721;12.758;
2009-08-29 21:50;241.910;12.353;12.381;12.344;12.350;;;;2009-08-29 21:50;241.910;12.744;12.725;12.738;12.751;;;
2009-08-29 22:40;241.944;12.328;12.333;12.319;12.350;;;;2009-08-29 22:40;241.944;12.720;12.725;12.738;12.727;;;
2009-08-29 23:30;241.979;12.328;12.333;12.319;12.350;;;;2009-08-29 23:30;241.979;12.720;12.700;12.738;12.727;;;
2009-08-30 00:20;242.014;12.328;12.333;12.319;12.326;;;;2009-08-30 00:20;242.014;12.696;12.676;12.690;12.703;;;
2009-08-30 01:10;242.049;12.304;12.309;12.295;12.302;;;;2009-08-30 01:10;242.049;12.647;12.652;12.665;12.654;;;
2009-08-30 02:00;242.083;12.280;12.285;12.271;12.278;12.273;12.208;9.236;2009-08-30 02:00;242.083;12.623;12.628;12.641;12.654;12.624;12.662;
2009-08-30 02:50;242.118;12.256;12.260;12.247;12.278;;;;2009-08-30 02:50;242.118;12.599;12.604;12.641;12.630;;;
2009-08-30 03:40;242.153;12.256;12.236;12.247;12.254;;;;2009-08-30 03:40;242.153;12.575;12.580;12.593;12.606;;;
2009-08-30 04:30;242.188;12.207;12.212;12.198;12.229;;;;2009-08-30 04:30;242.188;12.551;12.531;12.569;12.558;;;
2009-08-30 05:20;242.222;12.183;12.212;12.198;12.205;;;;2009-08-30 05:20;242.222;12.527;12.507;12.545;12.534;;;
2009-08-30 06:10;242.257;12.183;12.188;12.174;12.181;;;;2009-08-30 06:10;242.257;12.478;12.483;12.521;12.509;;;
2009-08-30 07:00;242.292;12.159;12.164;12.150;12.157;12.152;12.160;9.236;2009-08-30 07:00;242.292;12.478;12.459;12.496;12.485;12.455;12.444;
2009-08-30 07:50;242.326;12.135;12.139;12.126;12.133;;;;2009-08-30 07:50;242.326;12.430;12.435;12.448;12.437;;;
2009-08-30 08:40;242.361;12.111;12.115;12.101;12.133;;;;2009-08-30 08:40;242.361;12.430;12.435;12.448;12.461;;;
2009-08-30 09:30;242.396;12.135;12.115;12.101;12.108;;;;2009-08-30 09:30;242.396;12.454;12.435;12.448;12.437;;;
2009-08-30 10:20;242.431;12.111;12.091;12.077;12.084;;;;2009-08-30 10:20;242.431;12.430;12.411;12.424;12.413;;;
2009-08-30 11:10;242.465;12.111;12.115;12.101;12.084;;;;2009-08-30 11:10;242.465;12.454;12.435;12.448;12.437;;;
2009-08-30 12:00;242.500;12.135;12.115;12.101;12.108;12.079;12.014;9.161;2009-08-30 12:00;242.500;12.454;12.435;12.448;12.437;12.407;12.444;
2009-08-30 12:50;242.535;12.111;12.115;12.077;12.084;;;;2009-08-30 12:50;242.535;12.454;12.435;12.448;12.437;;;
2009-08-30 13:40;242.569;12.135;12.115;12.101;12.108;;;;2009-08-30 13:40;242.569;12.454;12.435;12.448;12.437;;;
2009-08-30 14:30;242.604;12.135;12.139;12.101;12.133;;;;2009-08-30 14:30;242.604;12.454;12.435;12.472;12.461;;;
